canonical_smiles	IC50	CID
CC(C)Cc1cc(-c2c[nH]c3ncc(-c4ccccc4)cc23)ccc1C(=O)O	292.5	45270042.0
CC(C)N1CC[C@H](NC(=O)c2cc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)nc3[nH]ncc23)C1	21.0	166636583.0
CC(C)NC(=O)c1cc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3Cl)cc2)nc2[nH]ncc12	8834.0	166634500.0
CC(C)NCc1ccc(Nc2cc(-c3ccc(-c4ccc(O)cc4O)cc3)n[nH]2)cc1	290.0	11248502.0
CC(C)Oc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]nc(N)c12	8.3	86268573.0
CC(C)Oc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)c(F)c2)nc2[nH]nc(N)c12	3.4	90421187.0
CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21	10000.0	69036886.0
CC1(C)C(O)C(C)(C)N1c1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)cc2)nc2[nH]ncc12	58.0	136213099.0
CC1(C)OCC(=O)Nc2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc21	10000.0	137634241.0
CC1=NN(C)C(Cl)C1S(=O)(=O)Nc1ccc(-c2ncc3c(C)n[nH]c3n2)cc1	8100.0	136213119.0
CCCCCS(=O)(=O)Nc1ccc(-c2ccc3c(N)n[nH]c3c2)cc1	7140.0	118721247.0
CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1	606.0	16129448.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(C)ccc3F)cc2)cc2[nH]nc(N)c12	6.3	136213488.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)c(F)cc3F)cc2)cc2[nH]nc(N)c12	1.5	136213487.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)cc2[nH]nc(N)c12	13.0	136213555.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]nc(C)c12	48.0	136213367.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(F)c(F)cc3Cl)cc2)cc2[nH]nc(N)c12	23.0	136213497.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3Cl)cc2)cc2[nH]nc(N)c12	4.7	136213503.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3F)cc2)cc2[nH]nc(N)c12	2.6	136213501.0
CCCOc1nc(-c2ccc(NS(=O)(=O)c3ccccc3F)cc2)cc2[nH]nc(N)c12	9.4	136213499.0
CCN(CC)CC=Cc1[nH]c(=O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C	1000.0	9869943.0
CCN(CC)CCNC(=O)c1ccc2nc(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)c(-c3ccccc3)nc2c1	50000.0	10055074.0
CCN(CC)CCNC(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)nc2c1	50000.0	10240275.0
CCN1CCC(CNC(=O)c2cc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)nc3[nH]ncc23)C1	55.0	166632995.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(C)ccc4C#N)cc3)nc3[nH]nc(C)c23)CC1	8.6	136213361.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(C)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	5.7	86269188.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)nc3[nH]nc(C)c23)CC1	4.1	86268992.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	4.0	86269190.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	8.6	136213359.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(OC)ccc4Cl)cc3)nc3[nH]nc(C)c23)CC1	5.3	136213360.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(OC)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	4.7	86267958.0
CCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4ccccc4F)cc3)nc3[nH]nc(C)c23)CC1	13.0	86269189.0
CCN1CCCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(C)ccc4F)cc3)nc3[nH]nc(C)c23)C1	28.0	136213363.0
CCN1CCCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)nc3[nH]nc(C)c23)C1	40.0	136213364.0
CCN1CCCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)nc3[nH]nc(C)c23)C1	40.0	86268371.0
CCN1CCCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)nc3[nH]nc(C)c23)C1	660.0	136213365.0
CCN1CCCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(OC)ccc4Cl)cc3)nc3[nH]nc(C)c23)C1	26.0	86268569.0
CCN1CCCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(OC)ccc4F)cc3)nc3[nH]nc(C)c23)C1	13.0	136213366.0
CCN1CCCC(Oc2nc(-c3ccc(NS(=O)(=O)c4ccccc4F)cc3)nc3[nH]nc(C)c23)C1	740.0	136213362.0
CCNC(=O)c1cc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3Cl)cc2)nc2[nH]ncc12	963.0	166628699.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(C)ccc3C#N)cc2)cc2[nH]nc(C)c12	8.1	136213564.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(C)ccc3F)cc2)cc2[nH]nc(C)c12	8.0	136213568.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(C)ccc3F)cc2)cc2[nH]nc(N)c12	0.5	136213489.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)c(F)cc3F)cc2)nc2[nH]nc(N)c12	0.57	136213379.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]nc(C)c12	11.0	136213368.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)cc2)cc2[nH]nc(C)c12	23.0	136213567.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)cc2)nc2[nH]nc(C)c12	103.0	166633002.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(F)c(F)cc3Cl)cc2)cc2[nH]nc(N)c12	97.0	136213505.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(F)c(F)cc3F)cc2)cc2[nH]nc(N)c12	15.5	136213504.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(F)ccc3F)cc2)cc2[nH]nc(C)c12	21.0	136213565.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3Cl)cc2)cc2[nH]nc(C)c12	15.0	136213566.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3Cl)cc2)cc2[nH]nc(N)c12	3.2	136213502.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3F)cc2)cc2[nH]nc(C)c12	9.5	136213553.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3F)cc2)cc2[nH]nc(N)c12	1.7	136213500.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3ccccc3F)cc2)cc2[nH]nc(C)c12	26.0	136213554.0
CCOc1nc(-c2ccc(NS(=O)(=O)c3ccccc3F)cc2)cc2[nH]nc(N)c12	7.1	136213498.0
CCc1cc(-c2c[nH]c3ncc(-c4ccccc4)cc23)ccc1C(=O)O	365.0	45271705.0
CN(C)CCCNC(=O)c1cc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3Cl)cc2)nc2[nH]ncc12	633.0	166629844.0
CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O	19000.0	53384644.0
CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1	10000.0	155513187.0
CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1	3570.0	5326976.0
CN(CCO)C(=O)c1cc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3Cl)cc2)nc2[nH]ncc12	12.5	166628311.0
CN1CC(NC(=O)c2cc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)nc3[nH]ncc23)C1	1.0	166630738.0
CN1CCC(CNC(=O)c2cc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)nc3[nH]ncc23)C1	29.5	166630719.0
CN1CCC(NC(=O)c2cc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)nc3[nH]ncc23)C1	11.0	166635218.0
CN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)nc3[nH]ncc23)CC1	4.8	136213242.0
CN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)nc3[nH]ncc23)CC1	0.59	136213267.0
CN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)nc3[nH]ncc23)CC1	26.0	136213253.0
CN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4ccccc4F)cc3)nc3[nH]ncc23)CC1	180.0	136213241.0
CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1	201.0	54764565.0
CN1CCN(Cc2nnc3c4cc(-c5ccccc5)c(-c5ccc(CN6CCC(c7nnc(-c8ccccn8)[nH]7)CC6)cc5)nc4ccn23)CC1	50000.0	44572054.0
CN1CCN(c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)nc3[nH]ncc23)CC1	6.3	136213054.0
CN1CCN(c2nc(-c3ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)cc3)nc3[nH]ncc23)CC1	28.7	125504973.0
CN1Cc2nn(C)c(C#N)c2-c2cnc3[nH]c(F)c(c3c2)-c2cn(nc2C(F)(F)F)CCCC1=O	690.0	166633521.0
CN1Cc2nn(C)c(C#N)c2-c2cnc3[nH]cc(c3c2)-c2cn(nc2C(F)(F)F)CCCC1=O	212.0	166633407.0
CNC(=O)C[C@@H]1C[C@@H](c2ccc(F)c(F)c2)[C@H](NC(=O)c2cc(-c3c(Cl)cnn3C)c(Cl)o2)CN1	145.0	138911338.0
CNC(=O)[C@@H](C)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC	10000.0	11661959.0
CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC	10000.0	44410953.0
CNC(=O)c1cc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3Cl)cc2)nc2[nH]ncc12	466.5	16005246.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	9.3	44259.0
COC(=O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	3160.0	45268287.0
COCCCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	8.2	86268991.0
COCCCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)nc3[nH]ncc23)CC1	120.0	136213357.0
COCCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3Cl)cc2)nc2[nH]nc(C)c12	6.9	136213355.0
COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(N)=O	10000.0	44410956.0
COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1	10000.0	11526238.0
COCCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(C)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	6.3	86268174.0
COCCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	4.7	86268173.0
COCCN1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)nc3[nH]nc(C)c23)CC1	11.0	86268176.0
COCC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC	10000.0	11691173.0
COCCc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(F)c(F)cc4F)cc3)nc(N)c12	3600.0	136213437.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(C)ccc3C#N)cc2)nc2[nH]nc(N)c12	68.0	86269398.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(C)ccc3F)cc2)nc2[nH]nc(N)c12	17.05	136213425.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)c(F)cc3F)cc2)nc2[nH]nc(N)c12	40.0	136213423.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]nc(N)c12	25.85	136213427.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)cc2)nc2[nH]nc(N)c12	67.5	136213428.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)sc3Cl)cc2)nc2[nH]nc(N)c12	310.0	136213431.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(F)c(F)cc3Cl)cc2)nc2[nH]nc(N)c12	1500.0	136213432.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(F)ccc3F)cc2)nc2[nH]nc(N)c12	15000.0	136213430.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3C#N)cc2)nc2[nH]nc(N)c12	65.0	136213438.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3Cl)cc2)nc2[nH]nc(N)c12	18.0	136213424.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cc(OC)ccc3F)cc2)nc2[nH]nc(N)c12	12.0	136213426.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3ccc(F)cc3Cl)cc2)nc2[nH]nc(N)c12	1500.0	136213429.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3F)cc2)nc2[nH]nc(N)c12	1300.0	136213433.0
COCCc1nc(-c2ccc(NS(=O)(=O)c3ccccc3F)cc2)nc2[nH]nc(N)c12	1500.0	136213434.0
COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC	10000.0	11719305.0
COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N	10000.0	44427519.0
COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N	50000.0	44427518.0
COc1cc(-c2ncc3c(C)n[nH]c3n2)ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl	1.5	90421048.0
COc1cc(Br)c(S(=O)(=O)Nc2ccc(-c3ncc4c(C)n[nH]c4n3)cc2)cc1OC	140.0	136213130.0
COc1cc(C)c(S(=O)(=O)Nc2ccc(-c3ncc4c(C)n[nH]c4n3)cc2)cc1OC	2700.0	136213131.0
COc1cc(C2CN(C(=O)c3cc(COC[C@@H](O)CO)ccn3)C2)ccc1OCc1ccc(C2CC2)cc1	1000.0	49806372.0
COc1cc(F)c(S(=O)(=O)Nc2ccc(-c3ncc4c(C)n[nH]c4n3)cc2)cc1OC	85.0	136213129.0
COc1cc(O)ccc1/C=N/NC(=O)Cc1cccc(O)c1	138.0	118721246.0
COc1cc(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(C)ccc4C#N)cc3)cc3[nH]nc(C)c23)ccn1	11.0	136213558.0
COc1cc(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(C)ccc4F)cc3)cc3[nH]nc(C)c23)ccn1	21.0	136213563.0
COc1cc(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4Cl)cc3)cc3[nH]nc(C)c23)ccn1	31.0	136213560.0
COc1cc(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)cc3[nH]nc(C)c23)ccn1	25.0	136213557.0
COc1cc(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)cc3[nH]nc(C)c23)ccn1	61.0	136213559.0
COc1cc(Oc2nc(-c3ccc(NS(=O)(=O)c4ccccc4F)cc3)cc3[nH]nc(C)c23)ccn1	67.0	136213562.0
COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2	10000.0	44138048.0
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2	10000.0	44138049.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O	10000.0	11532048.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@H]1C(N)=O	10000.0	11546457.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C(C)C)[C@@H](C)C(N)=O	10000.0	44410949.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1	10000.0	44411183.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1	10000.0	11620055.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1	10000.0	11562171.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1	10000.0	11532676.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1CCNC1=O	10000.0	44410948.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O	10000.0	11682843.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(N)=O	10000.0	11596881.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O	10000.0	44411161.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(N)=O	10000.0	11373886.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N(C)C	10000.0	44410723.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O	10000.0	11531799.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O	10000.0	44410954.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(C(N)=O)C1	10000.0	44410829.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC1C(N)=O	10000.0	44410851.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1	10000.0	44410844.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC[C@@H]1C(N)=O	10000.0	44410717.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(=O)N(C)C	10000.0	44410955.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(N)=O	10000.0	11502867.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O	10000.0	11495680.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O	10000.0	44410959.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O	10000.0	44410960.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1C(N)=O	10000.0	44410720.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC[C@H](C(N)=O)C1	10000.0	44411048.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1C[C@H](OC)C[C@@H]1C(N)=O	10000.0	44410869.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN[C@H](C)C(N)=O	10000.0	11516978.0
COc1ccc(-c2cc3c(=O)[nH]cnc3s2)cc1OC	110000.0	71463565.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(OC4CCN(C5CCC5)CC4)n3)cc2)c1	3.2	136213532.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(N)c4c(C(F)(F)F)n3)cc2)c1	1.5	136213464.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3cnc4c(N)n[nH]c4n3)cc2)c1	2.0	71534719.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3nc(C4CC4)c4c(N)n[nH]c4n3)cc2)c1	1.5	86268372.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3nc(OC4CCC(O)CC4)c4c(C)n[nH]c4n3)cc2)c1	13.0	136213153.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3nc(OC4CCC(O)CC4)c4cn[nH]c4n3)cc2)c1	1.5	86269397.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3nc(OCC(C)C)c4c(N)n[nH]c4n3)cc2)c1	5.5	136213309.0
COc1ccc(C#N)c(S(=O)(=O)Nc2ccc(-c3ncc4c(N)n[nH]c4n3)cc2)c1	2.4	136213439.0
COc1ccc(CCNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)cc1OC	30000.0	71552696.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(OC4CC(C)(C)N(C)C(C)(C)C4)n3)cc2)c1	3.7	136213523.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(OC4CC(C)(C)NC(C)(C)C4)n3)cc2)c1	2.9	136213519.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(OC4CCN(C(C)=O)CC4)n3)cc2)c1	5.8	136213551.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(OC4CCN(C5CCC5)CC4)n3)cc2)c1	3.7	136213534.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(OCC4CN(C(C)C)C4)n3)cc2)c1	6.7	136213481.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(OCCC(=O)N(C)C)n3)cc2)c1	13.0	136213580.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(Oc4ccc(N(C)C)nc4)n3)cc2)c1	25.0	136213590.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(Oc4ccc(N)nc4)n3)cc2)c1	6.6	136213572.0
COc1ccc(Cl)c(S(=O)(=O)Nc2ccc(-c3cc4[nH]nc(C)c4c(Oc4ccc(OC)nc4)n3)cc2)c1	25.0	136213542.0
